sale_service_id,sale_control_point,data_owner,scope,report_day
01GKN1A,Priority,BSO,interpipes,20/07/2023
01GKN8P,Priority,BSO,interpipes,20/07/2023
01GTL33,Priority,EMEA/APAC COE,interpipes,20/07/2023
01GN2EK,Priority,EMEA/APAC COE,interpipes,20/07/2023
01GN2HR,Priority,EMEA/APAC COE,interpipes,20/07/2023
01GTY6J,71 BE,OPS,interpipes,20/07/2023
01GJNW4,71 BE,OPS,interpipes,20/07/2023
01GJNW5,71 BE,OPS,interpipes,20/07/2023
01GU4U9,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQMQU,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4FY,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQTU4,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4TU,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4ER,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU50U,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4FW,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4FG,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU54U,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4TQ,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GU4U5,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQH6F,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GUT1Q,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GKJKY,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQH6Q,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GKRT3,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQH6X,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQH72,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTTK1,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTTJP,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTTHW,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQMQA,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQMQF,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GKW4W,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQH6M,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTVEU,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTVET,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTVEX,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTTHQ,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTTJ8,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GTTJH,71 BE,EMEA/APAC COE,interpipes,20/07/2023
01GQMQ8,71 BE,EMEA/APAC COE,interpipes,20/07/2023
