buy_service_id,spm_kpi_tt,tt_flag
N1468802,,
N1474576,,
N1485645,,
N1506193,,
N1403516,,
N1403514,,
N1403513,,
N1403512,,
N1403510,,
N1403509,,
N1403508,,
N1403507,,
N1403502,,
N1403499,,
N1403498,,
N1403544,,
N1403540,,
N1403539,,
N1403538,,
N1403537,,
N1403536,,
N1403534,,
N1403529,,
N1403527,,
N1403526,,
N1403523,,
N1403522,,
N1403647,,
N1403646,,
N1403645,,
N1403644,,
N1403643,,
N1403642,,
N1403641,,
N1403637,,
N1403636,,
N1403635,,
N1403634,,
N1403633,,
N1403632,,
N1403631,,
N1403630,,
N1403629,,
N1403628,,
N1403627,,
N1403626,,
N1403625,,
N1403624,,
N1403623,,
N1403622,,
N1404384,,
N1404382,,
N1404379,,
N1404381,,
N1410900,,
N1404376,,
N1508797,,
N1503139,,
N1402731,,
N1402729,,
N1402812,,
N1402810,,
N1402809,,
N1402807,,
N1402804,,
N1402806,,
N1402801,,
N1402799,,
N1402790,,
N1402787,,
N1402773,,
N1402771,,
N1530145,,
N1474132,,
N1505279,,
N1506135,,
N1461184,,
N1427568,,
N1525766,,
N1519190,,
N1434967,,
N1474394,,
N1460950,,
N1412109,,
N1412106,,
N1412108,,
N1412107,,
N1412093,,
N1412092,,
N1412090,,
N1412088,,
N1412087,,
N1412084,,
N1412086,,
N1412082,,
N1412079,,
N1412078,,
N1412156,,
N1412157,,
N1412158,,
N1412159,,
N1412142,,
N1412143,,
N1412145,,
N1412144,,
N1412136,,
N1412137,,
N1412134,,
N1412135,,
N1525652,,
N1412027,,
N1412026,,
N1514709,,
N1503271,,
N1398347,,
N1413246,,
N1413247,,
N1413243,,
N1413242,,
N1413241,,
N1413240,,
N1413231,,
N1413230,,
N1413228,,
N1413229,,
N1413084,,
N1413083,,
N1413082,,
N1413081,,
N1413080,,
N1413079,,
N1413078,,
N1413077,,
N1413076,,
N1413075,,
N1413074,,
N1413071,,
N1413070,,
N1413069,,
N1413067,,
N1413066,,
N1413065,,
N1413064,,
N1413059,,
N1413058,,
N1413057,,
N1413056,,
N1413055,,
N1413054,,
N1413053,,
N1413051,,
N1413050,,
N1413049,,
N1413048,,
N1413047,,
N1413046,,
N1413043,,
N1413042,,
N1413041,,
N1413038,,
N1413543,,
N1413542,,
N1413541,,
N1413540,,
N1413536,,
