buy_service_id,spm_kpi_tt,tt_flag
N1491964,Correct,1
N1465195,,
N1536767,,
N1493899,,
N1506237,,
N1547600,,
N1541035,,
N1485621,,
N1513539,,
N1509701,,
N1536191,,
N1517967,,
N1505334,,
N1485578,,
N1552407,,
N1460005,Correct,1
N1545239,,
N1522026,,
N1483893,,
N1545421,,
N1555766,,
N1498724,,
N1519126,,
N1541039,,
N1552440,,
N1541163,,
N1519086,Correct,1
N1530206,,
N1401093,,
N1400178,,
N1401092,,
N1415820,,
N1413333,,
N1413180,,
N1413181,,
N1413178,,
N1413179,,
N1413172,,
N1413173,,
N1420277,,
N1417578,,
N1413158,,
N1413157,,
N1412194,,
N1412193,,
N1414228,,
N1400175,,
N1413156,,
N1413155,,
N1436817,,
N1436816,,
N1413332,,
N1413331,,
N1527304,,
N1556273,,
N1413328,,
N1413327,,
N1413325,,
N1413324,,
N1413322,,
N1413323,,
N1413320,,
N1413321,,
N1519169,,
N1505389,,
N1413318,,
N1413317,,
N1413316,,
N1413315,,
N1529160,,
N1400198,,
N1400197,,
N1400196,,
N1400195,,
N1400193,,
N1400194,,
N1400192,,
N1400191,,
N1400190,,
N1400188,,
N1400189,,
N1400187,,
N1400186,,
N1400184,,
N1400185,,
N1400183,,
N1400181,,
N1400182,,
N1413274,,
N1413273,,
N1413272,,
N1415813,,
N1413270,,
N1413271,,
N1413268,,
N1413269,,
N1413267,,
N1415819,,
N1413266,,
N1413265,,
N1413264,,
N1413263,,
N1413262,,
N1413261,,
N1413260,,
N1413259,,
N1413072,,
N1413073,,
N1415828,,
N1413258,,
N1415824,,
N1413257,,
N1413255,,
N1413256,,
N1400168,,
N1428218,,
N1457601,,
N1413133,,
N1428217,,
N1400167,,
N1413128,,
N1413127,,
N1413052,,
N1413126,,
N1400912,,
N1400910,,
N1400911,,
N1400151,,
N1400150,,
N1384539,,
N1400146,,
N1400147,,
N1400148,,
N1400145,,
N1400142,,
N1400130,,
N1400131,,
N1400128,,
N1400126,,
N1399429,,
N1400122,,
N1400123,,
N1400120,,
N1399415,,
N1400118,,
N1511885,,
N1413308,,
N1413309,,
N1413305,,
N1413306,,
N1510729,,
N1413302,,
N1415833,,
N1412210,,
N1400172,,
N1553465,,
N1415832,,
N1413299,,
N1413154,,
N1413153,,
N1413298,,
N1415826,,
N1413297,,
N1413296,,
N1413294,,
N1413295,,
N1415829,,
N1413293,,
N1400171,,
N1428237,,
N1400170,,
N1428236,,
N1413151,,
N1413152,,
N1413150,,
N1413149,,
N1428235,,
N1400169,,
N1413147,,
N1413148,,
N1413291,,
N1415787,,
N1415746,,
N1413139,,
N1413286,,
N1413287,,
N1413136,,
N1413135,,
N1415779,,
N1413285,,
N1413283,,
N1413282,,
N1413281,,
N1413280,,
N1413279,,
N1413278,,
N1413277,,
N1413276,,
N1413275,,
N1415816,,
N1400382,,
N1400280,,
N1546846,,
N1522032,,
N1400278,,
N1400272,,
N1400266,,
N1400264,,
N1399696,,
N1399692,,
N1399687,,
N1399694,,
N1399695,,
N1399686,,
N1399684,,
N1399689,,
N1399690,,
N1399680,,
N1399688,,
N1399691,,
N1399676,,
N1399682,,
N1543090,,
N1399634,,
N1399668,,
N1399664,,
N1399660,,
N1399669,,
N1399670,,
N1399663,,
N1399657,,
N1399662,,
N1399661,,
N1399655,,
N1399654,,
N1399653,,
N1399649,,
N1399650,,
N1399645,,
N1399651,,
N1399648,,
N1399646,,
N1399641,,
N1399647,,
N1399568,,
N1399637,,
N1399635,,
N1399636,,
N1399633,,
N1399632,,
N1399631,,
N1399630,,
N1399629,,
N1399626,,
N1399628,,
N1399621,,
N1399625,,
N1399627,,
N1399622,,
N1437939,,
N1399767,,
N1399770,,
N1399763,,
N1397192,Correct,1
N1399975,,
N1399768,,
N1514674,,
N1542004,,
N1399760,,
N1399755,,
N1399751,,
N1399756,,
N1399753,,
N1399969,,
N1399749,,
N1399752,,
N1399748,,
N1399747,,
N1399745,,
N1399746,,
N1399744,,
N1399743,,
N1399742,,
N1399741,,
N1399739,,
N1399736,,
N1399737,,
N1399733,,
N1532078,,
N1509843,,
N1399731,,
N1399727,,
N1399730,,
N1399725,,
N1399598,,
N1399566,,
N1399723,,
N1399721,,
N1399720,,
N1399719,,
N1399717,,
N1399715,,
N1399714,,
N1399711,,
N1543214,,
N1399708,,
N1399707,,
N1399703,,
N1399706,,
N1520731,,
N1503464,,
N1399544,,
N1399539,,
N1399545,,
N1399541,,
N1399538,,
N1399537,,
