sale_service_id,cp_MissingAWB,cp_missing_awb_reportdate
SH000752821,Incorrect,06/04/2023
SH000753327,Incorrect,06/04/2023
SH000752177,Incorrect,06/04/2023
SH000752175,Incorrect,06/04/2023
SH000751806,Incorrect,06/04/2023
SH000751805,Incorrect,06/04/2023
SH000751804,Incorrect,06/04/2023
SH000751791,Incorrect,06/04/2023
SH000751803,Incorrect,06/04/2023
SH000752391,Incorrect,06/04/2023
SH000754653,Incorrect,06/04/2023
SH000754632,Incorrect,06/04/2023
SH000754604,Incorrect,06/04/2023
SH000754595,Incorrect,06/04/2023
SH000749867,Incorrect,06/04/2023
SH000751366,Incorrect,06/04/2023
SH000751393,Incorrect,06/04/2023
SH000751327,Incorrect,06/04/2023
SH000751794,Incorrect,06/04/2023
SH000751776,Incorrect,06/04/2023
SH000751414,Incorrect,06/04/2023
SH000751413,Incorrect,06/04/2023
SH000751411,Incorrect,06/04/2023
SH000751409,Incorrect,06/04/2023
SH000751408,Incorrect,06/04/2023
SH000750932,Incorrect,06/04/2023
SH000750934,Incorrect,06/04/2023
SH000750931,Incorrect,06/04/2023
SH000750985,Incorrect,06/04/2023
SH000750984,Incorrect,06/04/2023
SH000750981,Incorrect,06/04/2023
SH000750979,Incorrect,06/04/2023
SH000750978,Incorrect,06/04/2023
SH000750977,Incorrect,06/04/2023
SH000759138,Incorrect,06/04/2023
SH000759220,Incorrect,06/04/2023
SH000759658,Incorrect,06/04/2023
SH000758306,Incorrect,06/04/2023
SH000758649,Incorrect,06/04/2023
SH000758314,Incorrect,06/04/2023
SH000758270,Incorrect,06/04/2023
SH000758313,Incorrect,06/04/2023
SH000758280,Incorrect,06/04/2023
SH000758264,Incorrect,06/04/2023
SH000758724,Incorrect,06/04/2023
SH000758722,Incorrect,06/04/2023
SH000755937,Incorrect,06/04/2023
SH000755936,Incorrect,06/04/2023
SH000755957,Incorrect,06/04/2023
SH000755955,Incorrect,06/04/2023
SH000756334,Incorrect,06/04/2023
SH000755516,Incorrect,06/04/2023
SH000755469,Incorrect,06/04/2023
SH000757874,Incorrect,06/04/2023
SH000757768,Incorrect,06/04/2023
SH000757701,Incorrect,06/04/2023
SH000757349,Incorrect,06/04/2023
SH000757356,Incorrect,06/04/2023
SH000757715,Incorrect,06/04/2023
SH000757839,Incorrect,06/04/2023
SH000757774,Incorrect,06/04/2023
SH000757877,Incorrect,06/04/2023
SH000757876,Incorrect,06/04/2023
SH000757868,Incorrect,06/04/2023
SH000756377,Incorrect,06/04/2023
SH000756427,Incorrect,06/04/2023
SH000756407,Incorrect,06/04/2023
SH000756405,Incorrect,06/04/2023
SH000757324,Incorrect,06/04/2023
SH000757274,Incorrect,06/04/2023
SH000757355,Incorrect,06/04/2023
SH000757352,Incorrect,06/04/2023
SH000737068,Incorrect,06/04/2023
SH000741962,Incorrect,06/04/2023
SH000742544,Incorrect,06/04/2023
SH000742576,Incorrect,06/04/2023
SH000742575,Incorrect,06/04/2023
SH000742572,Incorrect,06/04/2023
SH000742574,Incorrect,06/04/2023
SH000762411,Incorrect,06/04/2023
SH000762385,Incorrect,06/04/2023
SH000762329,Incorrect,06/04/2023
SH000760996,Incorrect,06/04/2023
SH000761465,Incorrect,06/04/2023
SH000744541,Incorrect,06/04/2023
SH000744582,Incorrect,06/04/2023
SH000744538,Incorrect,06/04/2023
SH000744558,Incorrect,06/04/2023
SH000744557,Incorrect,06/04/2023
SH000744585,Incorrect,06/04/2023
SH000744584,Incorrect,06/04/2023
SH000744581,Incorrect,06/04/2023
SH000744583,Incorrect,06/04/2023
SH000744580,Incorrect,06/04/2023
SH000744579,Incorrect,06/04/2023
SH000745019,Incorrect,06/04/2023
SH000745037,Incorrect,06/04/2023
SH000745010,Incorrect,06/04/2023
SH000743770,Incorrect,06/04/2023
SH000743768,Incorrect,06/04/2023
SH000743733,Incorrect,06/04/2023
SH000744148,Incorrect,06/04/2023
SH000744146,Incorrect,06/04/2023
SH000744145,Incorrect,06/04/2023
SH000748912,Incorrect,06/04/2023
SH000748908,Incorrect,06/04/2023
SH000748939,Incorrect,06/04/2023
SH000745493,Incorrect,06/04/2023
SH000745491,Incorrect,06/04/2023
SH000745489,Incorrect,06/04/2023
