sale_service_id,pickup_reason_code_status,delivery_reason_code_status
01G9DYU,RC no needed,Updated RC
01GJJJW,Updated RC,RC no needed
01G9KT8,RC no needed,Updated RC
01GGAJ3,RC no needed,RC no needed
01G9AM6,RC no needed,Updated RC
01GGAH4,RC no needed,RC no needed
01GGAKQ,Updated RC,RC no needed
01GHV67,Updated RC,Updated RC
01FKKLG,Updated RC,Updated RC
01GGAKE,Updated RC,RC no needed
01G9KT6,Updated RC,Updated RC
01GGAKT,Updated RC,RC no needed
01FYXPQ,Updated RC,Updated RC
01GGAJK,RC no needed,RC no needed
01GP1FJ,RC no needed,RC no needed
01GC1GF,RC no needed,RC no needed
01GFLXN,Updated RC,Updated RC
01GC1N0,Updated RC,Updated RC
01GHL3N,RC no needed,Updated RC
01FTLJU,Updated RC,Updated RC
01G8Q0W,RC no needed,Updated RC
01FP5PC,RC no needed,Updated RC
01GGAGN,RC no needed,RC no needed
01GC1EC,RC no needed,RC no needed
01G25U2,Updated RC,Updated RC
01GC1J8,RC no needed,RC no needed
01GC1H1,RC no needed,RC no needed
01GA7TE,RC no needed,Updated RC
01GKNH6,Updated RC,Updated RC
01G3D9N,Updated RC,Updated RC
01FPQJD,RC no needed,Updated RC
01G8TQ5,Updated RC,Updated RC
01FKXRX,Updated RC,Updated RC
01G0CGW,Updated RC,Updated RC
01G3D6P,Updated RC,Updated RC
01G95AH,RC no needed,Updated RC
01FPCT3,Updated RC,Updated RC
01FWCFD,Updated RC,Updated RC
01G67UF,RC no needed,Updated RC
01G8156,RC no needed,Updated RC
01G3D9P,RC no needed,Updated RC
01G0CGU,Updated RC,Updated RC
01G0CH1,Updated RC,Updated RC
01G0E0D,Updated RC,Updated RC
01G952N,Updated RC,Updated RC
01G7JXE,Updated RC,Updated RC
01G9MRA,Updated RC,Updated RC
01FP9U2,Updated RC,Updated RC
01GJJKM,Updated RC,RC no needed
01G952U,Updated RC,Updated RC
01GKDGG,Updated RC,RC no needed
01G7K1W,Updated RC,Updated RC
01GKNJ8,Updated RC,Updated RC
01G94Y7,RC no needed,Updated RC
01GA7T1,RC no needed,Updated RC
01GA7T4,RC no needed,Updated RC
01GGN3W,RC no needed,Updated RC
01GDF97,RC no needed,Updated RC
01GGED6,RC no needed,RC no needed
01GHL3K,Updated RC,Updated RC
01GGCLT,RC no needed,Updated RC
01G8TPL,RC no needed,Updated RC
01GCKED,Updated RC,RC no needed
01GGCR1,RC no needed,RC no needed
01GQGAF,RC no needed,RC no needed
01GGW5T,RC no needed,RC no needed
01GE336,RC no needed,Updated RC
01GHJ8C,RC no needed,RC no needed
01GHL3Q,Updated RC,Updated RC
01FN8RK,RC no needed,Updated RC
01GGW07,RC no needed,RC no needed
01GGCQN,RC no needed,RC no needed
01GCKCV,Updated RC,RC no needed
01FN8RU,Updated RC,Updated RC
01FN8QL,Updated RC,Updated RC
01FULE6,Updated RC,Updated RC
01GGEVA,RC no needed,Updated RC
01GD46K,RC no needed,Updated RC
01FUL9E,Updated RC,Updated RC
01FTCG7,Updated RC,Updated RC
01GD5HL,Updated RC,Updated RC
01FUMYL,Updated RC,Updated RC
01FT887,Updated RC,Updated RC
01FULA2,Updated RC,Updated RC
01FXRCK,Updated RC,Updated RC
01FXRCQ,Updated RC,Updated RC
01FXRF1,Updated RC,Updated RC
01FXRFA,Updated RC,Updated RC
01FNFX9,Updated RC,Updated RC
01G5HTL,Updated RC,Updated RC
01FXRFF,Updated RC,Updated RC
01GC1G6,RC no needed,RC no needed
01GHGP7,RC no needed,Updated RC
01GHGQ1,Updated RC,Updated RC
01GGVP3,RC no needed,RC no needed
